item,value,evidence,status
method,Grad-CAM (built-in gradCAM, res5b_relu, predicted class, top-20% saliency mass; gradFallback raw gradient for dlnetwork),src\grading\gradcamExplain.m + run_task6_gradcam.m,VERIFIED
images scored,81 (54 train + 27 test IDRiD segmentation),gradcam_T6.mat,VERIFIED
saliency mass in lesion (any),0.0307 (MA 0.0013 / HE 0.0126 / EX 0.0145 / SE 0.0049),gradcam_T6.agg,VERIFIED
areal chance (any),0.0220,gradcam_T6.agg,VERIFIED
x chance (saliency),1.24-1.61x areal,computed,VERIFIED (doc table 1.2-1.6x)
pointing game (any),0.074 (MA .012 HE .013 EX .049 SE .000),gradcam_T6.agg,VERIFIED
pointing chance level,annotation stores chance=1/numClasses=0.20,gradcam_T6.mat chance_level_pointing,VERIFIED -> pointing is 0.37x uniform-chance (BELOW chance)
Dice (any),0.05133 (MA 0.0033 HE 0.0164 EX 0.0344 SE 0.0119),gradcam_T6.agg,VERIFIED
Jaccard (any),0.02739,gradcam_T6.agg,VERIFIED
retina confound,78% saliency mass on retina disc (mean 0.779 median 0.776); 3.8% on-retina lands on lesion,gradcam_T6.agg + doc,VERIFIED
best/worst,IDRiD_17 massInAll 0.314 point 1 (pred Proliferative); IDRiD_15 0.001 (Mild),gradcam_T6.perImage,VERIFIED
class distribution on IDRiD,NoDR 0 / Mild 9 / Moderate 54 / Severe 5 / Prolif 13,predClass on IDRiD,VERIFIED
correct-vs-error split,BLOCKED honestly: IDRiD-seg != IDRiD-grade != APTOS val; no lesion masks on 733-val,doc task6,VERIFIED-honest
day7 avgmaps (scratch champion),class NoDR n=20 meanMassInside 0.6185 corr 0.7152; manifest 14 cases; avgmaps n 7/13 match scratch recalls,day7_avgmaps.mat + day7_manifest.mat,VERIFIED
metrics.md explainability targets,saliency>60% / pointing>70% / IoU>0.3 / MACE<10px: MEASURED 3.07% / 7.4% / 0.027 / not measured => targets FAIL by 10-20x,TARGETS STALE - OVERCLAIMED if used,CONTRADICTED (targets vs artifact)
