claim,measured_value,evidence,verdict
Champion 5-class acc 82.81%,0.828104,reverify_audit_T0.mat + T13,VERIFIED
Champion 5-class QWK 0.8914,0.891401,reverify_audit_T0.mat + T13,VERIFIED
Champion 5-class macroF1 0.6805,0.680459,reverify_audit_T0.mat + T13,VERIFIED
Champion per-class recall [0.983,0.608,0.785,0.487,0.525],[0.9834,0.6081,0.7850,0.4872,0.5254],eval_fixed_day7 + T13,VERIFIED
Champion per-class precision [0.981,0.577,0.777,0.500,0.585],[0.9807,0.5769,0.7772,0.5000,0.5849],day7_pretrained_5class_metrics,VERIFIED
Confusion matrix,[355 6 0 0 0; 6 45 19 1 3; 1 23 157 8 11; 0 0 12 19 8; 0 4 14 10 31],bn_finalization_verification,VERIFIED
Binary sens @0.60 90.60%,0.906040,reverify_audit_T0 + metrics doc,VERIFIED
Binary spec @0.60 94.71%,0.947126,reverify_audit_T0 + metrics doc,VERIFIED
Binary ROC-AUC 0.9796,0.979619,reverify_audit_T0,VERIFIED
Binary PR-AUC 0.7821,0.782054,reverify_audit_T0,VERIFIED
Referable positives on val n=298,n=298 (mod+sev+prol),splits_binary + day7_binary_calibration,VERIFIED
Calibration T=2.5382,2.5382,current_T.mat,VERIFIED
Calibration ECE 0.0319->0.0087 (firewalled),0.031915->0.0087196,firewalled_calibration.mat,VERIFIED
Calibration ECE standard 0.0450->0.0297,0.045013->0.029653,standard_calibration.mat,VERIFIED
Calibration flips 11/733 net-negative,11/733 ref->nonref (3 correct/8 errors),verify_calibration_flips.m (RF-4),VERIFIED
Branch B AUC 0.8969 / match 0.8295 / 598 agree / 135 review,0.89691/0.82947/598/135,branchb_fullval_T7.mat + T13,VERIFIED
Vessel feature HURTS branch B (p=0.022, base better),aucVes 0.880984 < aucBase 0.896914,branchb_comparison_T8.mat (RF-6),VERIFIED
Vessel classical champion Dice 0.75 (DRIVE),0.7535,metrics.txt + final_test_results,VERIFIED
Vessel legacy broken Dice 0.312,0.3124,metrics.txt summaryOld,VERIFIED
Phase-3 locked not better on Dice,0.7438 (<0.7549 champ) but Prec 0.8498 (>0.8220),phase3 metrics.txt,VERIFIED-NOT-PROMOTED
Enhancement HURTS (raw 0.8322 vs enh 0.5416),0.8322/0.8952/0.6828 vs 0.5416/0.6507/0.4039,task9b_ab_eval.mat + T13,VERIFIED
OD discrepancy NOT a bug - 78/733 CNN-located (10.6%),78 located 655 refused,od_discrepancy_investigation.mat (RF-1),VERIFIED
IDRiD OD CNN 10/10 located,9/10 within 300px,od_discrepancy_investigation.mat,VERIFIED
Ensemble QWK 0.8933 / TTA QWK 0.8965,; nothing promoted,0.8933/0.8965,RUN_ENSNEMBLE output (RF-3),VERIFIED
Grad-CAM weak localization: mass 3.07% vs areal 2.20% (1.4x); pointing 7.4% (0.37x uniform chance); Dice 0.051,0.0307/0.074/0.05133,gradcam_T6.mat,VERIFIED (honest doc)
Fovea CNN not reliable (AUC 0.749); production uses supplied-fovea hook,0.748715,fovea_cnn_metrics.mat,VERIFIED-negative
MA detection weak: det-recall ~0.113 (task-tracker) / pixel 0.000133; patch AUROC 0.976,0.975537 + GT low recall,ma_cnn_metrics + gt_validation,VERIFIED-negative
OD CNN AUROC 0.9955 / acc 0.9958,0.995538/0.995833,od_cnn_metrics.mat,VERIFIED
OOD p99 threshold 34.22 / false-OOD 1.01%,34.2155/1.01%,ood_stats.mat,VERIFIED
Test-set: 1928 predictions, NO accuracy (no labels); binary referable 60.06%; shift vs val 0.4065,+0.194,test_evaluation.mat,VERIFIED-honest
Quality split 65.48/26.68/7.84 n=3662,65.483/26.679/7.837,quality_assessment_summary + T13,VERIFIED
Dashboard numbers (acc/0.8281 mF1/0.6805 qwk/0.8914 sens/0.9060 spec/0.9471),); 0.1028 s/img,load_dashboard_data + T13,VERIFIED
Simulink model exists and produces bottleneck/queue insight,FALSE - .slx is 56-byte text placeholder; load_system fails,src\simulink\simulink_model.slx,NOT-IMPLEMENTED (overclaim in demo/pitch/README/PS)
Enhancement pipeline "enhance->classifier",FALSE in training/inference (display-only),,INTEGRATION-GAP
DRIMDB used for quality testing,FALSE (zero code references),grep,REDLIST-PLACEHOLDER
External validation (Messidor-2),NOT PERFORMED (BLOCKED: license needed),task10 doc,BLOCKED-honest
Simulink "80% automation" pitch claim,NO computational artifact supports 80%,pitch demo Act5,OVERCLAIMED
Grad-CAM pitch/module "strong examples" + metrics.md targets (pointing>70% IoU>0.3),targets NOT met (7.4%/0.027),metrics.md vs gradcam_T6,OVERCLAIMED-stale-targets
Clinical stats (77M diabetics etc.),no in-repo citation,literature-verification.md,UNVERIFIED-external
class_weights in day5 docs (0.216/1.052/0.390/2.022/1.320),config formula Total/(5*count)=0.4058/1.980/0.733/3.794/2.483 - differs,day5-classifier-setup.md,CONTRADICTED (doc vs config)
stage1 10 epochs? stage2 20 epochs / patience 5,config S1=15 S2=15 patience 8,day5-classifier-setup.md vs config,CONTRADICTED
RandBrightness/RandContrast augmentation claim,imageDataAugmenter does not support them (rot/ref/trans/shear used),day5-classifier-setup.md,CONTRADICTED
day3 threshold tables stale vs live config v2.0.0,doc round-numbers vs config values,day3-quality-assessment.md,CONTRADICTED (needs doc fix)
day6-training-results Stage2 (73.26/.5016/.7489) and confusion-stated values,superseded/pre-fix: inconsistent with both final and buggy metrics,day6-training-results.md,SUPERSEDED-STALE
day7 pretrained report section2 scratch spec 90.80%,champion-scratch referable spec 86.667; 90.80 appears only in ablation row1 - internal inconsistency,day7 report vs ablation,CONTRADICTED-internal
task8 DRIVE dice doc 0.2576 vs artifact 0.2541,+0.0035 offset - flag minor,drive_test_dice.mat,CONTRADICTED-minor
task8 humanDice doc 0.7881 vs artifact 0.7902,-0.0021 - flag minor,drive_vessel_metrics.mat,CONTRADICTED-minor
overall_sih_verdict,PS capabilities: 4/5 implemented+integrated (intake/grading/quality/gradcam); #5 Simulink NOT implemented,47-part audit,SIH-GAP on Simulink
