source,file,completed,quality,grade,pRef,decision,route,confidence,ood,seconds,note
DRIVE,01_test.tif,1,WARNING,0,5.77939374579728e-07,NON-REFERABLE,CLEAR,0.915854871273041,in(26.9),15.2946941,
DRIVE,02_test.tif,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,1.0037572,WITHHELD (no grade emitted)
DRIVE,03_test.tif,1,PASS,0,0.00013066572137177,NON-REFERABLE,CLEAR,1,OOD(36.4),3.2731495,
DRIVE,04_test.tif,1,WARNING,0,5.71361458145958e-10,NON-REFERABLE,CLEAR,0.999405384063721,in(32.7),2.353941,
DRIVE,05_test.tif,1,PASS,0,2.9845420839586e-12,NON-REFERABLE,CLEAR,0.999987840652466,OOD(41.4),1.9371086,
IDRID_GRADING,IDRiD_001.jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,1.1518383,WITHHELD (no grade emitted)
IDRID_GRADING,IDRiD_002.jpg,1,PASS,2,0.972329914569855,REFERABLE,REVIEW,0.700013101100922,in(23.4),30.8494359,
IDRID_GRADING,IDRiD_003.jpg,1,PASS,1,0.99780148267746,REFERABLE,REVIEW,0.882552087306976,in(22.2),43.6188159,
IDRID_GRADING,IDRiD_004.jpg,1,WARNING,4,0.984697997570038,REFERABLE,REVIEW,0.580715954303741,in(23.9),38.1592719,
IDRID_GRADING,IDRiD_005.jpg,1,PASS,4,0.999928712844849,REFERABLE,CLEAR,0.998671412467957,OOD(34.5),35.6298804,
DRIMDB_Good,drimdb_good (1).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.9160252,WITHHELD (no grade emitted)
DRIMDB_Good,drimdb_good (10).jpg,1,WARNING,0,1.32883081708363e-12,NON-REFERABLE,CLEAR,1,OOD(62.1),2.073241,
DRIMDB_Good,drimdb_good (100).jpg,1,WARNING,0,7.05409397561141e-10,NON-REFERABLE,CLEAR,0.997810542583466,OOD(44.6),1.8143088,
DRIMDB_Bad,drimdb_bad (1).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.8846984,WITHHELD (no grade emitted)
DRIMDB_Bad,drimdb_bad (10).jpg,1,PASS,4,0.968966901302338,REFERABLE,CLEAR,0.99994432926178,in(33.9),1.406105,
DRIMDB_Bad,drimdb_bad (11).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.5734015,WITHHELD (no grade emitted)
DRIMDB_Outlier,drimdb_outlier (1).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.5325242,WITHHELD (no grade emitted)
DRIMDB_Outlier,drimdb_outlier (10).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.7756746,WITHHELD (no grade emitted)
DRIMDB_Outlier,drimdb_outlier (11).jpg,1,FAIL,NaN,NaN,WITHHELD (quality FAIL - not assessed),REVIEW,NaN,n/a,0.6078989,WITHHELD (no grade emitted)
