relPath,classFolder,fileName,overall,brightness,contrast,focusScore,foregroundFrac,illumination,maskValid,focusStatus,brightnessStatus,contrastStatus,foregroundStatus,illuminationStatus,maskValidStatus,failureCategories
class_0\005b95c28852.png,class_0,005b95c28852.png,WARNING,0.210009469106969,0.0634716818154073,0.00022879686664242,0.333147048950195,1.19361378205378,1,WARNING,WARNING,PASS,WARNING,PASS,PASS,
class_0\0151781fe50b.png,class_0,0151781fe50b.png,WARNING,0.467572248795786,0.0543950714991117,0.000818465843536565,0.473961194356283,1.03822437226833,1,PASS,WARNING,PASS,PASS,PASS,PASS,
class_0\0212dd31f623.png,class_0,0212dd31f623.png,PASS,0.366338384150372,0.0575989482855819,0.00095335528000064,0.785979138321996,1.17284796272158,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\022f820027b8.png,class_0,022f820027b8.png,PASS,0.431726259862926,0.0634403683394981,0.00107914440855366,0.474298159281413,1.02480111247334,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\06586082a24d.png,class_0,06586082a24d.png,PASS,0.398243933271285,0.0647680467619371,0.000660519379471779,0.473911285400391,1.03916334125535,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\06be1092a062.png,class_0,06be1092a062.png,PASS,0.354359770688704,0.0435194849448832,0.000567301654313587,0.473603305850863,1.03123608939453,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\0709652336e2.png,class_0,0709652336e2.png,WARNING,0.385811870581079,0.101604252758156,0.000594393094306476,0.473478317260742,1.09349294876312,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\07e827469099.png,class_0,07e827469099.png,WARNING,0.403341272489376,0.0673953269212089,0.000914501129791739,0.474406878153483,0.826060788909185,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\08c60c647673.png,class_0,08c60c647673.png,PASS,0.265729797168661,0.0922037283360364,0.000312366090315873,0.874905669760488,1.12837298952904,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\08f8838d69bb.png,class_0,08f8838d69bb.png,PASS,0.39277644919966,0.060139421194151,0.00108490997219197,0.787277097505669,1.07117584746471,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\09237bf783a4.png,class_0,09237bf783a4.png,PASS,0.380254060266772,0.0619788989616295,0.000879500118117197,0.78791201814059,1.15323671829635,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\093cf723fede.png,class_0,093cf723fede.png,PASS,0.402478194941123,0.0774166516379084,0.000925015611288214,0.47420597076416,1.10114934172039,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\0a38b552372d.png,class_0,0a38b552372d.png,WARNING,0.462544453111025,0.0664195821881459,0.00111281744361178,0.787536507936508,1.05015614242762,1,PASS,WARNING,PASS,PASS,PASS,PASS,
class_0\0afbeeef0ff7.png,class_0,0afbeeef0ff7.png,PASS,0.354959357083656,0.0437022015916816,0.000828096979465907,0.7864589569161,1.05121621381126,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\0b64a0a06f9a.png,class_0,0b64a0a06f9a.png,WARNING,0.253017751565661,0.0884709964516482,0.00036415859563313,0.747966655132779,0.839630630860605,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\0cbcc7b23613.png,class_0,0cbcc7b23613.png,FAIL,0.23218927915201,0.0776533479445723,0.000139705529455455,0.689164099884278,0.975270625567243,1,FAIL,PASS,PASS,PASS,PASS,PASS,Blur
class_0\0da321efbce6.png,class_0,0da321efbce6.png,WARNING,0.210332510999724,0.0713400775017968,0.000228791214049862,0.665063853988935,0.945706348872515,1,WARNING,WARNING,PASS,PASS,PASS,PASS,
class_0\1002b5151b8e.png,class_0,1002b5151b8e.png,PASS,0.384988439181255,0.0857547163205583,0.00065607936779487,0.473826029200622,1.0980464248359,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\10f6ef37fe43.png,class_0,10f6ef37fe43.png,PASS,0.369237623237956,0.0588528812503459,0.000909885838981553,0.786389115646258,1.12941475240423,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\11b220a397b8.png,class_0,11b220a397b8.png,PASS,0.423042014568068,0.0558946605219442,0.000748418320402387,0.474132537841797,0.992028016408345,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\12058bbb8299.png,class_0,12058bbb8299.png,PASS,0.451752131311086,0.0555807240724116,0.00111748407523203,0.788247619047619,1.10102459086497,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\12ab2f6397f0.png,class_0,12ab2f6397f0.png,PASS,0.384378851078825,0.0566494720178769,0.000949277855542249,0.786760997732426,1.10533284805209,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\12b57dac703e.png,class_0,12b57dac703e.png,FAIL,0.380338484092937,0.141570815563297,0.000982190781543353,0.903438199089693,1.11973184993127,1,PASS,PASS,FAIL,WARNING,PASS,PASS,Low Contrast
class_0\12ef75375322.png,class_0,12ef75375322.png,PASS,0.456447884951959,0.0535815729390837,0.00104011314548069,0.787278911564626,1.0819716372166,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\13073f075a56.png,class_0,13073f075a56.png,WARNING,0.465124552537962,0.0674641228959622,0.000919316364923896,0.786864399092971,1.16089329655668,1,PASS,WARNING,PASS,PASS,PASS,PASS,
class_0\143db89c11c8.png,class_0,143db89c11c8.png,PASS,0.36142337850318,0.0581407058347602,0.00071489568633845,0.785979138321996,1.08022233201037,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\14c3b41d289c.png,class_0,14c3b41d289c.png,FAIL,0.340369461221852,0.138809702649135,0.000595342976121206,0.863991187424319,1.02583962449913,1,PASS,PASS,FAIL,PASS,PASS,PASS,Low Contrast
class_0\15c24478ac72.png,class_0,15c24478ac72.png,PASS,0.446079355892755,0.0614570575432507,0.00102373826650908,0.787750566893424,1.09952397114275,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1608c82a263f.png,class_0,1608c82a263f.png,PASS,0.285609023747172,0.0948628121896492,0.000366100548697138,0.744949385314163,0.990777853008585,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1633f8291a80.png,class_0,1633f8291a80.png,WARNING,0.377667733872276,0.075435023245841,0.000475585206395378,0.47322348299547,1.15867992287763,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\17f6c7072f61.png,class_0,17f6c7072f61.png,PASS,0.438966331997822,0.0551312195831538,0.00097538871119714,0.78702947845805,1.12612897682814,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\186c1835eec5.png,class_0,186c1835eec5.png,PASS,0.44953240876786,0.0485358742092655,0.000940773547575945,0.787815873015873,1.11341000036479,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\197af0de76e2.png,class_0,197af0de76e2.png,PASS,0.421002627366172,0.0676701906786881,0.00109506029373914,0.787239002267574,1.08846928019152,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1c7a013eeba7.png,class_0,1c7a013eeba7.png,PASS,0.365833700685578,0.0533947874228633,0.000964735568972564,0.7861179138322,1.12943598253942,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1ca91751be4d.png,class_0,1ca91751be4d.png,PASS,0.431309829819463,0.0602739307804199,0.00092486057450684,0.786719274376417,1.148114928545,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1caba2fb38f6.png,class_0,1caba2fb38f6.png,PASS,0.301308967266567,0.062566956637855,0.000818428761976053,0.784337414965986,1.23425215776713,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1d0b93317aa8.png,class_0,1d0b93317aa8.png,WARNING,0.190913274149814,0.0595924271020998,0.000249232928386582,0.398759841918945,1.10450056089345,1,PASS,WARNING,PASS,WARNING,PASS,PASS,
class_0\1d46f1326394.png,class_0,1d46f1326394.png,PASS,0.414027839777337,0.0721793467170329,0.00102075064565254,0.785624489795918,1.2079028195644,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1d74c4713e21.png,class_0,1d74c4713e21.png,WARNING,0.361361535525096,0.10756420700239,0.000539711389519561,0.473491032918294,1.10367893298339,1,PASS,PASS,WARNING,WARNING,PASS,PASS,
class_0\1df0a4c23c95.png,class_0,1df0a4c23c95.png,PASS,0.304828114388438,0.0532508880137373,0.000569203087458637,0.473895630247422,1.06176619546845,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1df1530b9b8d.png,class_0,1df1530b9b8d.png,PASS,0.377467681267166,0.0638897677100737,0.00107536331737817,0.786061678004535,1.17414112696304,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\1e8c31e29dd3.png,class_0,1e8c31e29dd3.png,PASS,0.414324263766073,0.0635892403271734,0.00104031954783641,0.788418140589569,1.12499873621511,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\20f86e068276.png,class_0,20f86e068276.png,WARNING,0.266250050452548,0.069185936829224,0.000439616081510096,0.890146910467578,1.14488530488294,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\22449af52060.png,class_0,22449af52060.png,PASS,0.410091632897518,0.0573359664881303,0.00120964211368252,0.789161904761905,0.991753616503475,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\226c6ceb9185.png,class_0,226c6ceb9185.png,WARNING,0.191963393238885,0.0429683770590877,0.000372164317496275,0.467512766520182,1.02841461063894,1,PASS,WARNING,PASS,WARNING,PASS,PASS,
class_0\252305189b3a.png,class_0,252305189b3a.png,WARNING,0.423399353551326,0.0773333205555234,0.00135806124135063,0.786861678004535,1.0544656682217,1,WARNING,PASS,PASS,PASS,PASS,PASS,
class_0\253e96488cfb.png,class_0,253e96488cfb.png,PASS,0.258524981193477,0.054822094395555,0.00061019338121454,0.830969420453505,1.09963072525258,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\2585bbc91909.png,class_0,2585bbc91909.png,WARNING,0.203565699950356,0.0422802833833586,0.000299317498122631,0.428569157918294,1.14235060928429,1,PASS,WARNING,PASS,WARNING,PASS,PASS,
class_0\260a455692b5.png,class_0,260a455692b5.png,WARNING,0.206219400724028,0.0592688604596687,0.000349721665318368,0.406457583109538,1.22129772078926,1,PASS,WARNING,PASS,WARNING,PASS,PASS,
class_0\266fbefa58fb.png,class_0,266fbefa58fb.png,PASS,0.387803923060401,0.066163276969783,0.000975457675260079,0.786850793650794,1.08498567190022,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\2682e6da9050.png,class_0,2682e6da9050.png,WARNING,0.205857327774157,0.0437095839610911,0.000182230507577272,0.748780416568653,0.941588589682432,1,WARNING,WARNING,PASS,PASS,PASS,PASS,
class_0\26cd40b57ad1.png,class_0,26cd40b57ad1.png,PASS,0.368258396650902,0.05951965795999,0.00111271279141258,0.786390929705215,1.09392981290282,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\26fc2358a38d.png,class_0,26fc2358a38d.png,WARNING,0.346932771781886,0.0856029012939202,0.000881538716552493,0.784781859410431,1.33184590484921,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\27f82ada84ac.png,class_0,27f82ada84ac.png,FAIL,0.179657400550199,0.0458853930445033,0.000189554354936209,0.697836004024929,0.791136541709762,1,WARNING,FAIL,PASS,PASS,FAIL,PASS,Underexposure|Uneven Illumination
class_0\28751f290ba3.png,class_0,28751f290ba3.png,WARNING,0.471080545281829,0.0598802192397106,0.00114768940153261,0.789585487528345,1.08260345647315,1,PASS,WARNING,PASS,PASS,PASS,PASS,
class_0\28f73575e1f2.png,class_0,28f73575e1f2.png,PASS,0.346988540042266,0.0661806251951746,0.000815506143462867,0.474229715272061,0.966808432872747,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\29a13e666266.png,class_0,29a13e666266.png,PASS,0.34140756221689,0.0578857745102082,0.000892334740706659,0.785795918367347,1.154756406452,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\29d059522fa1.png,class_0,29d059522fa1.png,PASS,0.386118505822906,0.0613501388788394,0.00102865254826108,0.785980952380952,1.1230152631265,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\29f9e1ac9507.png,class_0,29f9e1ac9507.png,PASS,0.392973037120024,0.0560268148102064,0.00068094475319772,0.474456415824494,1.09301744654296,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\2a2274bcb00a.png,class_0,2a2274bcb00a.png,WARNING,0.296840874584105,0.0493159833873402,0.000551046420168761,0.901368262097557,1.11769665852903,1,PASS,PASS,PASS,WARNING,PASS,PASS,
