image_id,split,img_w,img_h,status,skip_reason,n_lesion_types,lesion_types,has_any_lesion_px,mask_exists_ma_he_ex_se_1,mask_exists_ma_he_ex_se_2,mask_exists_ma_he_ex_se_3,mask_exists_ma_he_ex_se_4,mask_px_full_ma_he_ex_se_1,mask_px_full_ma_he_ex_se_2,mask_px_full_ma_he_ex_se_3,mask_px_full_ma_he_ex_se_4
IDRiD_01,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,6941,35430,113286,-1
IDRiD_02,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,9446,17356,135394,-1
IDRiD_03,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,11288,162605,301586,3318
IDRiD_04,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,804,59383,5557,-1
IDRiD_05,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,3994,9850,8286,-1
IDRiD_06,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,9923,25507,59053,-1
IDRiD_07,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,12623,31951,167489,-1
IDRiD_08,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,4188,37203,20368,38340
IDRiD_09,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,35141,84849,254276,-1
IDRiD_10,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,33484,92658,805250,-1
IDRiD_11,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,21345,56797,291123,-1
IDRiD_12,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,3952,26843,6626,-1
IDRiD_13,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,34267,37412,214397,71243
IDRiD_14,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,25362,62616,165659,10855
IDRiD_15,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,2042,3215,42697,-1
IDRiD_16,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,3872,18663,115804,-1
IDRiD_17,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,14207,1821322,201316,48111
IDRiD_18,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,24706,89854,106281,40970
IDRiD_19,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,6092,62604,17431,81903
IDRiD_20,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,26027,66672,183732,-1
IDRiD_21,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,21573,102308,192428,-1
IDRiD_22,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,10367,254991,94020,108091
IDRiD_23,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,4531,111482,14812,59663
IDRiD_24,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,1354,27085,8245,-1
IDRiD_25,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,23423,332458,616742,23030
IDRiD_26,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,19627,104527,2506,-1
